hanzi,pinyin,english,lists
一,yī,one; single; a (article),hsk1;tocfl1
一下,yí xià,(after a verb) a bit; a little; all at once,hsk1
一些,yī xiē,some; a few; a little,hsk1;tocfl2
一共,yí gòng,in total; altogether,hsk3
一半,yī bàn,half,hsk1;tocfl3
一定,yī dìng,surely; certainly; necessarily,hsk3;tocfl3
一樣,yī yàng,same; like; equal to,hsk3;tocfl2
一直,yì zhí,straight (in a straight line); continuously; always,hsk3
一般,yì bān,same; ordinary; so-so,hsk3
一起,yī qǐ,in the same place; together; with,hsk2;tocfl2
一邊,yì biān,one side; either side; on the one hand,hsk3
一點,yī diǎn,a bit; a little; one dot,tocfl2
七,qī,seven,hsk1;tocfl1
丈夫,zhàng fu,husband,hsk2
三,sān,three,hsk1;tocfl1
上,shàng,up; upper; above,hsk1
上來,shàng lái,to come up; to approach,hsk2
上午,shàng wǔ,morning,hsk1;tocfl1
上去,shàng qù,to go up,hsk2
上學,shàng xué,to go to school; to attend school,hsk1;tocfl3
上班,shàng bān,to go to work; to be on duty; to start work,hsk1;tocfl3
上網,shàng wǎng,to go online; to connect to the Internet,hsk2;tocfl3
上衣,shàng yī,jacket; upper outer garment,hsk3
上課,shàng kè,to go to class; to attend class; to go to teach a class,hsk1;tocfl1
上面,shàng miàn,on top of; above-mentioned; also pr. [shang4 mian5],hsk2
下,xià,down; downwards; below,hsk1
下來,xià lái,to come down; (completed action marker); to be harvested (of crops),hsk2
下午,xià wǔ,afternoon; p.m,hsk1;tocfl1
下去,xià qù,to go down; to descend; to go on,hsk2
下班,xià bān,"to finish work; to get off work; next service (train, bus etc)",hsk1
下課,xià kè,to finish class; to get out of class; to be fired,hsk1;tocfl2
下雨,xià yǔ,to rain,hsk1;tocfl3
下雪,xià xuě,to snow,tocfl3
下麵,xià miàn,below; under; next,hsk2
不,bù,no; not so; not,hsk1
不久,bù jiǔ,not long (after); before too long; soon,hsk3
不但,bú dàn,not only ( but also ),hsk3
不同,bù tóng,different; distinct; not the same,hsk3
不好意思,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),hsk2
不客氣,bù kè qì,you're welcome; don't mention it; impolite,hsk1;tocfl3
不用,bú yòng,need not,hsk3
不行,bù xíng,won't do; be out of the question; be no good,hsk3
不要,bú yào,don't!; must not,hsk1
不見,bú jiàn,not to see; not to meet; to have disappeared,hsk3
不錯,bù cuò,correct; right; not bad,hsk2;tocfl3
世界,shì jiè,world,hsk3
丟,diū,to lose; to put aside; to throw,hsk3
中,zhōng,middle,hsk3
中午,zhōng wǔ,noon; midday,hsk1;tocfl1
中國,zhōng guó,China,hsk1;tocfl1
中學,zhōng xué,middle school,hsk1;tocfl2
中學生,zhōng xué shēng,middle-school student; high school student,hsk1
中文,zhōng wén,Chinese language,hsk1
中間,zhōng jiān,the middle; the inside; in the middle,hsk3;tocfl2
主要,zhǔ yào,main; principal; major,hsk3
久,jiǔ,(of a period of time) long,hsk3;tocfl3
九,jiǔ,nine,hsk1;tocfl1
也,yě,also; too; as well,hsk1;tocfl1
乾淨,gān jìng,clean; neat,hsk3
了,le,(completed action marker); to finish; to achieve,tocfl1
事,shì,matter; thing; item,hsk1
事情,shì qing,affair; matter; thing,hsk2
二,èr,two,hsk1;tocfl1
五,wǔ,five,hsk1;tocfl1
些,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several",hsk1
人,rén,person,hsk1;tocfl1
什麼,shén me,what?; something; anything,hsk1;tocfl1
今天,jīn tiān,today; the present time; now,hsk1;tocfl1
今年,jīn nián,this year,hsk1;tocfl1
介紹,jiè shào,to introduce (sb to sb); to give a presentation; to present (sb for a job etc),hsk2;tocfl2
他,tā,(third-person singular) he; him; his,hsk1;tocfl1
他們,tā men,they; them,hsk1;tocfl1
以上,yǐ shàng,that level or higher; that amount or more; the above-mentioned,hsk3
以下,yǐ xià,that level or lower; that amount or less; the following,hsk3
以前,yǐ qián,before,hsk3;tocfl1
以外,yǐ wài,apart from; other than; except for,hsk3
以後,yǐ hòu,after; later; afterwards,hsk3;tocfl1
以為,yǐ wéi,to think; to believe,hsk3
件,jiàn,"item; component; classifier for events, things, clothes etc",hsk1;tocfl2
休假,xiū jià,to go on vacation; to have a holiday; to take leave,hsk3
休息,xiū xí,rest; to rest,hsk1;tocfl3
但,dàn,but; yet; however,hsk2
但是,dàn shì,but; however,hsk2
位,wèi,position; location; place,hsk2
住,zhù,to live; to dwell; to stay,hsk1;tocfl1
住院,zhù yuàn,to stay in hospital; to be hospitalized,hsk3
作業,zuò yè,school assignment; homework; work,hsk3;tocfl3
你,nǐ,you,tocfl1
你們,nǐ men,you (plural),hsk1;tocfl1
你好,nǐ hǎo,hello; hi,hsk1
來,lái,to come,hsk1;tocfl1
來自,lái zì,to come from (a place); From: (in email header),hsk3
便宜,pián yi,convenient,hsk1;tocfl1
信,xìn,letter; mail; to trust,hsk3;tocfl2
信封,xìn fēng,envelope,tocfl3
信用卡,xìn yòng kǎ,credit card,hsk3
個,ge,individual; this; that,tocfl1
個子,gè zi,stature; height; size (of a person or object),hsk2
們,men,"plural marker for pronouns, and nouns referring to individuals",hsk1
假期,jià qī,vacation,hsk3
做,zuò,to make; to produce; to write,hsk1;tocfl1
做客,zuò kè,to be a guest or visitor,hsk3
做飯,zuò fàn,to prepare a meal; to cook,hsk1
健康,jiàn kāng,health; healthy,hsk3;tocfl3
像,xiàng,to resemble; to be like; to look as if,hsk3
元,yuán,currency unit (esp. Chinese yuan); first; original,hsk1;tocfl2
先,xiān,beforehand; first; earlier,hsk3
先生,xiān shēng,Mister (Mr.); teacher; husband,hsk1;tocfl2
兒子,ér zi,son,hsk1;tocfl2
兩,liǎng,two; both; some,hsk1;tocfl1
八,bā,eight,hsk1;tocfl1
公交車,gōng jiāo chē,public transport vehicle; town bus,hsk2
公共汽車,gōng gòng qì chē,bus; 班,tocfl1
公司,gōng sī,company; firm; corporation,hsk1;tocfl2
公園,gōng yuán,park (for public recreation),hsk3;tocfl3
公斤,gōng jīn,kilogram (kg),hsk3;tocfl3
六,liù,six,hsk1;tocfl1
其他,qí tā,other; (sth or sb) else; the rest,hsk3
其實,qí shí,actually; in fact; really,hsk3
再,zài,again; once more; re-,hsk1;tocfl1
再見,zài jiàn,goodbye; see you again later,hsk1;tocfl1
冬天,dōng tiān,winter,hsk3;tocfl3
冰激凌,bīng jī líng,ice cream,hsk3
冰箱,bīng xiāng,refrigerator; (old) icebox,hsk3
冷,lěng,cold,hsk1;tocfl2
冷氣,lěng qì,air conditioning (Tw),tocfl3
出來,chū lái,to come out; to appear; to arise,hsk2
出去,chū qù,to go out,hsk2;tocfl2
出國,chū guó,to go abroad; to leave the country,hsk2
出生,chū shēng,to be born,hsk3
出發,chū fā,to set off; to start (on a journey),hsk3
出租車,chū zū chē,taxi; (Tw) rental car,hsk1
出門,chū mén,to go out; to leave home; to go on a journey,hsk2
出院,chū yuàn,to leave hospital; to be discharged from hospital,hsk3
分,fēn,to divide; to separate; to distribute,hsk1;hsk3;tocfl1
分鐘,fēn zhōng,minute,hsk1;tocfl3
分開,fēn kāi,to separate; to part,hsk3
初中,chū zhōng,junior high school,hsk3
別人,bié rén,other people; others; other person,hsk3
別的,bié de,else; other,hsk3
到,dào,to reach; to arrive; to leave for,hsk1;tocfl1
到處,dào chù,everywhere,hsk3
刷,shuā,a brush; to paint; to daub,hsk3
刻,kè,quarter (hour); moment; to carve,hsk3
前,qián,front; forward; ahead,hsk1
前天,qián tiān,the day before yesterday,hsk3
前年,qián nián,the year before last,hsk3
前面,qián miàn,ahead; in front; preceding,hsk2
剛,gāng,hard; firm; strong,hsk3
剛剛,gāng gāng,just recently; just a moment ago,hsk3
剛纔,gāng cái,just now; a moment ago; just now,hsk3
功課,gōng kè,homework; assignment; task,tocfl3
加,jiā,to add; (math.) plus; to increase,hsk3
努力,nǔ lì,to make an effort; to try hard; to strive,hsk3
動,dòng,(of sth) to move; to set in movement; to displace,hsk2
動物,dòng wù,animal,hsk3
動物園,dòng wù yuán,zoo,hsk3
勺子,sháo zi,spoon; ladle,hsk3
包,bāo,bag,hsk2
包子,bāo zi,baozi; bao (steamed stuffed bun),hsk1;tocfl3
北,běi,north; (classical) to be defeated,hsk3
北方,běi fāng,north; the northern part a country; China north of the Yellow River,hsk3
十,shí,ten,hsk1;tocfl1
十字路口,shí zì lù kǒu,crossroads; intersection,tocfl3
千,qiān,thousand; see 鞦韆|秋千[qiu1 qian1],tocfl3
午飯,wǔ fàn,lunch,hsk1
半,bàn,half; semi-; incomplete,hsk1;tocfl1
半天,bàn tiān,half of the day; a long time; quite a while,hsk3
南,nán,south,hsk3
南方,nán fāng,south; southern direction,hsk3
卡,kǎ,to stop; to block; (computing) slow,hsk3
去,qù,to go,hsk1;tocfl1
去年,qù nián,last year,hsk1;tocfl2
參加,cān jiā,to participate; to take part; to join,hsk3;tocfl2
參觀,cān guān,to look around; to tour; to visit,tocfl3
又,yòu,(once) again; also; both and,hsk3
叔叔,shū shu,father's younger brother; paternal uncle,hsk3
受,shòu,to receive; to accept; to suffer,hsk3
受傷,shòu shāng,to sustain injuries; wounded (in an accident etc); harmed,tocfl3
受到,shòu dào,to receive; to be ed,hsk3
口,kǒu,mouth,hsk1
句,jù,sentence; clause; phrase,hsk3
句子,jù zi,sentence,hsk3;tocfl3
只,zhǐ,only; merely; just,tocfl1
只是,zhǐ shì,merely; only; just,hsk3
只有,zhǐ yǒu,only have; there is only; it is only if (that one can ),hsk3
只能,zhǐ néng,can only; obliged to do sth; to have no other choice,hsk3
只要,zhǐ yào,so long as; provided; if,hsk3
叫,jiào,to shout; to call; to order,tocfl1
可,kě,(prefix) can; may; able to,hsk3
可以,kě yǐ,can; may; possible,hsk1;tocfl1
可愛,kě ài,adorable; cute; lovely,hsk3;tocfl3
可是,kě shì,but; however; (used for emphasis) indeed,hsk3;tocfl1
可能,kě néng,might (happen); possible; probable,hsk2;tocfl2
台灣,tái wān,variant of 臺灣|台湾[Tai2 wan1],tocfl1
右,yòu,right; right-hand side; (politics) right of center,hsk2
右邊,yòu biān,right side; right; to the right,hsk2;tocfl2
司機,sī jī,chauffeur; driver,hsk3;tocfl3
吃,chī,to eat,tocfl1
合適,hé shì,suitable; fitting; appropriate,hsk3
同事,tóng shì,colleague; co-worker,hsk3;tocfl3
同學,tóng xué,to study at the same school; fellow student; classmate,hsk1
同意,tóng yì,to agree; to consent; to approve,hsk3
名,míng,name; noun (part of speech); place (e.g. among winners),hsk2
名人,míng rén,personage; celebrity,hsk3
名單,míng dān,list of names,hsk3
名字,míng zi,name (of a person or thing),hsk1;tocfl1
吧,ba,right?; OK?; I presume,hsk1;tocfl1
告訴,gào su,to press charges; to file a complaint,hsk2
呌,jiào,to shout; to call; to order,hsk1
呢,ne,particle indicating strong affirmation,hsk1;tocfl1
和,hé,"Japanese (food, clothes etc); and; together with",tocfl2
咖啡,kā fēi,(loanword) coffee,hsk2;tocfl2
咱們,zán men,I or me; (in a coaxing or familiar way) you; also pr. [za2 men5],hsk3
員,yuán,person engaged in a certain field of activity; member; classifier for military generals,hsk3
