媽	mā
八	bā
三	sān
七	qī
天	tiān
花	huā
書	shū
東	dōng
家	jiā
車	chē
說	shuō
吃	chī
喝	hē
山	shān
心	xīn
開	kāi
貓	māo
春	chūn
高	gāo
中	zhōng
多	duō
街	jiē
湯	tāng
包	bāo
杯	bēi
飛	fēi
星	xīng
香	xiāng
冰	bīng
聽	tīng
麻	má
拔	bá
十	shí
人	rén
來	lái
頭	tóu
錢	qián
房	fáng
門	mén
學	xué
紅	hóng
白	bái
魚	yú
牛	niú
羊	yáng
茶	chá
甜	tián
長	cháng
年	nián
明	míng
忙	máng
難	nán
玩	wán
王	wáng
才	cái
球	qiú
圖	tú
鵝	é
藍	lán
黃	huáng
馬	mǎ
把	bǎ
五	wǔ
九	jiǔ
我	wǒ
你	nǐ
好	hǎo
買	mǎi
水	shuǐ
狗	gǒu
手	shǒu
口	kǒu
眼	yǎn
耳	ěr
早	zǎo
走	zǒu
跑	pǎo
想	xiǎng
小	xiǎo
老	lǎo
冷	lěng
短	duǎn
遠	yuǎn
米	mǐ
有	yǒu
女	nǚ
雨	yǔ
椅	yǐ
紙	zhǐ
請	qǐng
罵	mà
爸	bà
四	sì
六	liù
二	èr
大	dà
是	shì
賣	mài
對	duì
看	kàn
去	qù
要	yào
會	huì
快	kuài
慢	màn
熱	rè
樹	shù
話	huà
飯	fàn
菜	cài
肉	ròu
麵	miàn
電	diàn
路	lù
月	yuè
課	kè
弟	dì
妹	mèi
坐	zuò
唱	chàng
